<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.04	05:05:00	2346.94	2348.54	2346.39	2348.42	617	0	9
2024.06.04	05:10:00	2348.46	2349.58	2347.95	2348.39	795	0	4
2024.06.04	05:15:00	2348.38	2348.54	2347.58	2347.68	445	0	5
2024.06.04	05:20:00	2347.68	2347.90	2347.20	2347.42	272	0	10
2024.06.04	05:25:00	2347.42	2347.55	2346.65	2346.85	328	0	6
2024.06.04	05:30:00	2346.88	2347.73	2345.97	2346.06	663	0	5
2024.06.04	05:35:00	2346.05	2347.06	2345.78	2346.34	518	0	5
2024.06.04	05:40:00	2346.34	2346.58	2345.60	2346.35	504	0	12
2024.06.04	05:45:00	2346.40	2346.78	2345.80	2346.49	466	0	11
2024.06.04	05:50:00	2346.52	2347.46	2346.08	2347.36	511	0	14
2024.06.04	05:55:00	2347.34	2347.61	2346.45	2346.85	683	0	10
2024.06.04	06:00:00	2346.84	2346.90	2345.51	2345.58	618	0	4
2024.06.04	06:05:00	2345.65	2346.06	2345.05	2345.16	434	0	4
2024.06.04	06:10:00	2345.16	2345.84	2345.02	2345.39	438	0	4
2024.06.04	06:15:00	2345.39	2346.10	2345.11	2345.50	334	0	5
2024.06.04	06:20:00	2345.54	2346.26	2344.90	2346.24	521	0	4
2024.06.04	06:25:00	2346.24	2346.34	2344.94	2345.22	394	0	4
2024.06.04	06:30:00	2345.22	2345.45	2344.16	2344.37	213	0	4
2024.06.04	06:35:00	2344.41	2345.66	2344.15	2345.50	214	0	4
2024.06.04	06:40:00	2345.51	2345.66	2345.02	2345.25	175	0	6
2024.06.04	06:45:00	2345.25	2345.35	2344.75	2344.85	111	0	6
